name,link,sizeInMB
98120605.zip,https://drive.google.com/file/d/1KtBfbaxhcBqifYFktCFdovvnFd7ozVJr/view?usp=drivesdk,47.4933672
52345968.zip,https://drive.google.com/file/d/1K8guW8N49a3b2isisreb4POF5LoEuz0s/view?usp=drivesdk,178.1519814
94200862.zip,https://drive.google.com/file/d/1KcRYuWWFNr9A8zuFHA7HLPGQG1vLwnwh/view?usp=drivesdk,44.26268959
37875431.zip,https://drive.google.com/file/d/1KZD8-kHEoHbsUMsN7hxIZNSlZiMqxb5s/view?usp=drivesdk,563.7612677
81518757.zip,https://drive.google.com/file/d/1KpPAuCSQfESta9ut9F7ukip4WRsAb7ni/view?usp=drivesdk,59.87151623
40237051.zip,https://drive.google.com/file/d/1KX3V0gnm2eq-a4Ehy5xoplroBdsapqns/view?usp=drivesdk,286.8806944
39038570.zip,https://drive.google.com/file/d/1JRuPccxkSzoqczXQPSap7FA5K0LhGj9f/view?usp=drivesdk,307.9471102
51336122.zip,https://drive.google.com/file/d/1jJzGmT2SOfCdXsPybmcWG6JNRHGmgxxW/view?usp=drivesdk,199.3996429
87770486.zip,https://drive.google.com/file/d/1Jd2ACWXHGsoWAEgXwMN37Np3TpMgsZRX/view?usp=drivesdk,44.336483
85078542.zip,https://drive.google.com/file/d/1KBtrqlkAesrqf8bGOzGEE2El1W2erhTw/view?usp=drivesdk,40.24673462
81195091.zip,https://drive.google.com/file/d/1K4odHrwRroGlZ-O1WvbCsIjKr1wKLunb/view?usp=drivesdk,46.13190556
85199788.zip,https://drive.google.com/file/d/1L5r6B67Zs5-9yzSXx1az7E0ZxtH6fPEy/view?usp=drivesdk,37.51365757
62371014.zip,https://drive.google.com/file/d/1K4Zrsf558TU9ZyIWDCLKcjHw1cXjSYT4/view?usp=drivesdk,84.19115353
61179686.zip,https://drive.google.com/file/d/1izgm3KbloeM4iEm8-_h3U8QV0DOZL5Du/view?usp=drivesdk,77.87073231
74241108.zip,https://drive.google.com/file/d/1KnVIPHmKVMA1uZ5jZEMAHsjOn4q-mSY3/view?usp=drivesdk,48.31030083
62345070.zip,https://drive.google.com/file/d/1K6NeuBQrnJsDAyAq2SyDoj8uo8UhqaCk/view?usp=drivesdk,68.26899624
58680324.zip,https://drive.google.com/file/d/1KYxj-2ELtkpYG4EfZOcecPEiOpzV-Vv0/view?usp=drivesdk,48.32276154
67359234.zip,https://drive.google.com/file/d/1izcxZtzt_MoSIO_tMSbWq3uNLX34NkxV/view?usp=drivesdk,40.36277294
95024302.zip,https://drive.google.com/file/d/1K6mB7XC1H29VTsPVlyb5mz6xwikVg7F4/view?usp=drivesdk,0.070063591
94875538.zip,https://drive.google.com/file/d/1JukvYijMOfObHF-iMLOqlTKXjk_KT9EK/view?usp=drivesdk,1.483352661
92204064.zip,https://drive.google.com/file/d/1KfaOo-7Hln8m_q4XbBeOJThFEqV7gCn9/view?usp=drivesdk,0.04013347626
81742040.zip,https://drive.google.com/file/d/1KGwPwTIN3q0yP8831QdTlwy4voU6zeAO/view?usp=drivesdk,3.021692276
61403732.zip,https://drive.google.com/file/d/1iyT88os0smgXyPaOBMqL1sIIHsR_bIvX/view?usp=drivesdk,39.52419853
51622121.zip,https://drive.google.com/file/d/1JE82ZGhbz6BHLLJwVChekzheZCIRvtA9/view?usp=drivesdk,118.9808102
50729763.zip,https://drive.google.com/file/d/1PDIbM7g4Uyy7RGYkH8lO3Pz-ds9_Zn6I/view?usp=drivesdk,115.2580624
54288462.zip,https://drive.google.com/file/d/1JZwj7KsYqBXYAPqYTnrd8D_rbsuWxqgm/view?usp=drivesdk,64.37492561
84181797.zip,https://drive.google.com/file/d/1PDR1KU61Ajg4hpugtW-d_m4ZYERJ6OhE/view?usp=drivesdk,0.8305625916
70811987.zip,https://drive.google.com/file/d/1PB3Di1g9_z4YZ8AJup6j0aDiUExStJLb/view?usp=drivesdk,16.93531322
58845192.zip,https://drive.google.com/file/d/1OGFYQS_JrPHq4Ewz31qfr6x5o_H7TGd2/view?usp=drivesdk,15.94387817
62401782.zip,https://drive.google.com/file/d/1O5Ea2GJ3iz2cSrAx5WXRYqjvFyEXamBt/view?usp=drivesdk,15.80285454
54280576.zip,https://drive.google.com/file/d/1O4188JpAtEXvQb39lzd9HW6PnVTD6X8G/view?usp=drivesdk,41.053689
50311906.zip,https://drive.google.com/file/d/1OYKZQxV34HDtujuTrIoA4OA3DP8jToJc/view?usp=drivesdk,84.98609829
46253612.zip,https://drive.google.com/file/d/1NrMMDyjUGDVBKr2H83dk-KSwlQ4x9D5Y/view?usp=drivesdk,118.5315151
53013068.zip,https://drive.google.com/file/d/1OUBOkqrBFrDGqUdJOLqmZBF8trs09MCt/view?usp=drivesdk,36.08051682
35719805.zip,https://drive.google.com/file/d/1OspR_zeCJZ6dMO6JU9E3ahCUtBEbndJE/view?usp=drivesdk,315.0313635
51968000.zip,https://drive.google.com/file/d/1OSp0g6JD_Tam1lhHn6HTh6z3ILSnI51_/view?usp=drivesdk,17.45578957
53486744.zip,https://drive.google.com/file/d/1P-tj5l1HO-bHj6guEftlxLCvSUkhf9F6/view?usp=drivesdk,0.06941890717
